round,condition_id,technique,stage,fused_score,is_alert,MTTD,FPR,weight_delta,prediction_accuracy,honeypot_engagement,bandit_regret
1,A,os_fingerprinting,Reconnaissance,0.4361,0,2.5,0.0,0.0,0.0,0.0,0.0
2,A,credential_access,Initial Access,0.7704,1,1.698,0.0,0.02357,0.0,0.0,0.0
3,A,scheduled_task,Execution,0.5452,0,1.698,0.0,0.00039,0.0,0.0,0.0
4,A,account_creation,Persistence,0.6542,1,1.747,0.0,0.02304,0.0,0.0,0.0
5,A,log_clearing,Defense Evasion,0.7632,1,1.7247,0.0,0.02251,0.0,0.0,0.0
6,A,lateral_movement,Lateral Movement,0.7087,1,1.5765,0.0,0.022,0.0,0.0,0.0
7,A,outbound_transfer,Exfiltration,0.8177,1,1.3136,0.0,0.02159,0.0,0.0,0.0
8,A,os_fingerprinting,Reconnaissance,0.4361,0,1.3136,0.0,0.00014,0.0,0.0,0.0
9,A,credential_access,Initial Access,0.7704,1,1.351,0.0,0.0097,0.0,0.0,0.0
10,A,script_execution,Execution,0.5997,1,1.2229,0.0,0.02097,0.0,0.0,0.0
11,A,account_creation,Persistence,0.6542,1,1.1473,0.0,0.0094,0.0,0.0,0.0
12,A,log_clearing,Defense Evasion,0.7632,1,1.098,0.0,0.00937,0.0,0.0,0.0
13,A,pass_the_hash,Lateral Movement,0.7087,1,1.1502,0.0,0.02028,0.0,0.0,0.0
14,A,outbound_transfer,Exfiltration,0.8177,1,1.0853,0.0,0.00914,0.0,0.0,0.0
15,A,service_enumeration,Reconnaissance,0.5263,0,1.0853,0.0,0.00017,0.0,0.0,0.0
16,A,credential_access,Initial Access,0.7704,1,1.0938,0.0,0.0053,0.0,0.0,0.0
17,A,scheduled_task,Execution,0.5452,0,1.0938,0.0,0.0003,0.0,0.0,0.0
18,A,registry_persistence,Persistence,0.5997,1,1.1622,0.0,0.0196,0.0,0.0,0.0
19,A,log_clearing,Defense Evasion,0.7632,1,1.2069,0.0,0.00511,0.0,0.0,0.0
20,A,lateral_movement,Lateral Movement,0.7087,1,1.1844,0.0,0.00904,0.0,0.0,0.0
21,A,outbound_transfer,Exfiltration,0.8177,1,1.1189,0.0,0.00517,0.0,0.0,0.0
22,A,network_scanning,Reconnaissance,0.5198,0,1.1189,0.0,0.0001,0.0,0.0,0.0
23,A,credential_access,Initial Access,0.7704,1,1.1013,0.0,0.00341,0.0,0.0,0.0
24,A,process_injection,Execution,0.7087,1,1.0571,0.0,0.01888,0.0,0.0,0.0
25,A,account_creation,Persistence,0.6542,1,1.0458,0.0,0.0052,0.0,0.0,0.0
26,A,log_clearing,Defense Evasion,0.7632,1,1.0813,0.0,0.00321,0.0,0.0,0.0
27,A,lateral_movement,Lateral Movement,0.7087,1,1.1034,0.0,0.005,0.0,0.0,0.0
28,A,outbound_transfer,Exfiltration,0.8177,1,1.0667,0.0,0.00331,0.0,0.0,0.0
29,A,os_fingerprinting,Reconnaissance,0.4361,0,1.0667,0.0,0.0001,0.0,0.0,0.0
30,A,credential_access,Initial Access,0.7704,1,1.059,0.0,0.00241,0.0,0.0,0.0
31,A,scheduled_task,Execution,0.5452,0,1.059,0.0,0.0,0.0,0.0,0.0
32,A,registry_persistence,Persistence,0.5997,1,1.0958,0.0,0.00849,0.0,0.0,0.0
33,A,log_clearing,Defense Evasion,0.7632,1,1.1187,0.0,0.0023,0.0,0.0,0.0
34,A,lateral_movement,Lateral Movement,0.7087,1,1.1144,0.0,0.00331,0.0,0.0,0.0
35,A,outbound_transfer,Exfiltration,0.8177,1,1.0786,0.0,0.0024,0.0,0.0,0.0
36,A,os_fingerprinting,Reconnaissance,0.4361,0,1.0786,0.0,0.0001,0.0,0.0,0.0
37,A,credential_access,Initial Access,0.7704,1,1.0971,0.0,0.00177,0.0,0.0,0.0
38,A,scheduled_task,Execution,0.5452,0,1.0971,0.0,0.00017,0.0,0.0,0.0
39,A,registry_persistence,Persistence,0.5997,1,1.1217,0.0,0.00495,0.0,0.0,0.0
40,A,log_clearing,Defense Evasion,0.7632,1,1.1311,0.0,0.0018,0.0,0.0,0.0
41,A,pass_the_hash,Lateral Movement,0.7087,1,1.1235,0.0,0.0088,0.0,0.0,0.0
42,A,data_compression,Exfiltration,0.6542,1,1.0954,0.0,0.01782,0.0,0.0,0.0
43,A,network_scanning,Reconnaissance,0.5198,0,1.0954,0.0,0.00014,0.0,0.0,0.0
44,A,credential_access,Initial Access,0.7704,1,1.1138,0.0,0.0014,0.0,0.0,0.0
45,A,process_injection,Execution,0.7087,1,1.0946,0.0,0.00841,0.0,0.0,0.0
46,A,account_creation,Persistence,0.6542,1,1.1107,0.0,0.00342,0.0,0.0,0.0
47,A,log_clearing,Defense Evasion,0.7632,1,1.1141,0.0,0.00133,0.0,0.0,0.0
48,A,lateral_movement,Lateral Movement,0.7087,1,1.1011,0.0,0.00239,0.0,0.0,0.0
49,A,data_compression,Exfiltration,0.6542,1,1.0779,0.0,0.0079,0.0,0.0,0.0
50,A,os_fingerprinting,Reconnaissance,0.4361,0,1.0779,0.0,0.00014,0.0,0.0,0.0
