round,condition_id,technique,stage,fused_score,is_alert,MTTD,FPR,weight_delta,prediction_accuracy,honeypot_engagement,bandit_regret
1,B,network_scanning,Reconnaissance,0.5198,0,2.5,0.0,0.0,0.0,0.0,0.0
2,B,credential_access,Initial Access,0.7704,1,0.984,0.0,0.02357,0.0,0.0,0.0
3,B,process_injection,Execution,0.7087,1,0.613,0.0,0.02295,0.0,0.0,0.0
4,B,registry_persistence,Persistence,0.5997,1,0.8613,0.0,0.0225,0.0,0.0,0.0
5,B,log_clearing,Defense Evasion,0.7632,1,0.917,0.0,0.02206,0.0,0.0,0.0
6,B,lateral_movement,Lateral Movement,0.7087,1,1.0088,0.0,0.02701,0.0,0.0,0.0
7,B,encrypted_channel,Exfiltration,0.6542,1,0.9187,0.0,0.02173,0.0,0.0,0.0
8,B,os_fingerprinting,Reconnaissance,0.4361,0,0.9187,0.0,0.00014,0.0,0.0,0.0
9,B,credential_access,Initial Access,0.7704,1,1.0454,0.0,0.01316,0.0,0.0,0.0
10,B,scheduled_task,Execution,0.5452,0,1.0454,0.0,0.00014,0.0,0.0,0.0
11,B,registry_persistence,Persistence,0.5997,1,1.0688,0.0,0.01773,0.0,0.0,0.0
12,B,log_clearing,Defense Evasion,0.7632,1,1.1089,0.0,0.01601,0.0,0.0,0.0
13,B,pass_the_hash,Lateral Movement,0.7087,1,1.1084,0.0,0.02115,0.0,0.0,0.0
14,B,encrypted_channel,Exfiltration,0.6542,1,1.0251,0.0,0.01287,0.0,0.0,0.0
15,B,network_scanning,Reconnaissance,0.5198,0,1.0251,0.0,0.00036,0.0,0.0,0.0
16,B,credential_access,Initial Access,0.7704,1,1.1008,0.0,0.01556,0.0,0.0,0.0
17,B,process_injection,Execution,0.7087,1,1.0366,0.0,0.01785,0.0,0.0,0.0
18,B,registry_persistence,Persistence,0.5997,1,1.0681,0.0,0.01127,0.0,0.0,0.0
19,B,log_clearing,Defense Evasion,0.7632,1,1.0384,0.0,0.01122,0.0,0.0,0.0
20,B,pass_the_hash,Lateral Movement,0.7087,1,1.0391,0.0,0.01253,0.0,0.0,0.0
21,B,data_compression,Exfiltration,0.6542,1,1.0055,0.0,0.02682,0.0,0.0,0.0
22,B,network_scanning,Reconnaissance,0.5198,0,1.0055,0.0,0.00014,0.0,0.0,0.0
23,B,credential_access,Initial Access,0.7704,1,0.9973,0.0,0.01046,0.0,0.0,0.0
24,B,scheduled_task,Execution,0.5452,0,0.9973,0.0,0.00032,0.0,0.0,0.0
25,B,account_creation,Persistence,0.6542,1,1.0206,0.0,0.02043,0.0,0.0,0.0
26,B,log_clearing,Defense Evasion,0.7632,1,1.0638,0.0,0.01475,0.0,0.0,0.0
27,B,pass_the_hash,Lateral Movement,0.7087,1,1.0949,0.0,0.01347,0.0,0.0,0.0
28,B,outbound_transfer,Exfiltration,0.8177,1,1.0489,0.0,0.02052,0.0,0.0,0.0
29,B,os_fingerprinting,Reconnaissance,0.4361,0,1.0489,0.0,0.00026,0.0,0.0,0.0
30,B,credential_access,Initial Access,0.7704,1,1.079,0.0,0.009,0.0,0.0,0.0
31,B,process_injection,Execution,0.7087,1,1.0378,0.0,0.01991,0.0,0.0,0.0
32,B,account_creation,Persistence,0.6542,1,1.049,0.0,0.01545,0.0,0.0,0.0
33,B,log_clearing,Defense Evasion,0.7632,1,1.0489,0.0,0.01015,0.0,0.0,0.0
34,B,pass_the_hash,Lateral Movement,0.7087,1,1.0612,0.0,0.01025,0.0,0.0,0.0
35,B,encrypted_channel,Exfiltration,0.6542,1,1.0254,0.0,0.01741,0.0,0.0,0.0
36,B,service_enumeration,Reconnaissance,0.5263,0,1.0254,0.0,0.01059,0.0,0.0,0.0
37,B,credential_access,Initial Access,0.7704,1,1.0352,0.0,0.01202,0.0,0.0,0.0
38,B,script_execution,Execution,0.5997,1,1.0085,0.0,0.02053,0.0,0.0,0.0
39,B,account_creation,Persistence,0.6542,1,0.9957,0.0,0.01087,0.0,0.0,0.0
40,B,log_clearing,Defense Evasion,0.7632,1,0.9909,0.0,0.00882,0.0,0.0,0.0
41,B,pass_the_hash,Lateral Movement,0.7087,1,1.011,0.0,0.01405,0.0,0.0,0.0
42,B,data_compression,Exfiltration,0.6542,1,0.9839,0.0,0.01864,0.0,0.0,0.0
43,B,os_fingerprinting,Reconnaissance,0.4361,0,0.9839,0.0,0.00017,0.0,0.0,0.0
44,B,credential_access,Initial Access,0.7704,1,0.9765,0.0,0.00963,0.0,0.0,0.0
45,B,script_execution,Execution,0.5997,1,0.9513,0.0,0.01244,0.0,0.0,0.0
46,B,registry_persistence,Persistence,0.5997,1,0.9443,0.0,0.02442,0.0,0.0,0.0
47,B,log_clearing,Defense Evasion,0.7632,1,0.9639,0.0,0.01179,0.0,0.0,0.0
48,B,pass_the_hash,Lateral Movement,0.7087,1,0.9563,0.0,0.00985,0.0,0.0,0.0
49,B,data_compression,Exfiltration,0.6542,1,0.941,0.0,0.01183,0.0,0.0,0.0
50,B,service_enumeration,Reconnaissance,0.5263,0,0.941,0.0,0.00024,0.0,0.0,0.0
