round,condition_id,technique,stage,fused_score,is_alert,MTTD,FPR,weight_delta,prediction_accuracy,honeypot_engagement,bandit_regret
1,C,service_enumeration,Reconnaissance,0.5263,0,2.5,0.0,0.0,0.0,1.0,0.0
2,C,credential_access,Initial Access,0.7704,1,1.468,0.0,0.02357,0.0,0.0,0.0
3,C,script_execution,Execution,0.5997,1,0.901,0.0,0.02295,0.0,0.0,0.0
4,C,registry_persistence,Persistence,0.5997,1,1.1107,0.0,0.0225,0.0,0.0,0.0
5,C,log_clearing,Defense Evasion,0.7632,1,1.2685,0.0,0.02206,0.0,1.0,0.0
6,C,pass_the_hash,Lateral Movement,0.7087,1,1.2884,0.0,0.02164,0.0,1.0,0.0
7,C,data_compression,Exfiltration,0.6542,1,1.0813,0.0,0.0212,0.0,0.0,0.0
8,C,service_enumeration,Reconnaissance,0.5263,0,1.0813,0.0,0.00017,0.0,1.0,0.0
9,C,credential_access,Initial Access,0.7704,1,1.0129,0.0,0.00955,0.0,0.0,0.0
10,C,scheduled_task,Execution,0.5452,0,1.0129,0.0,0.00017,0.0,0.0,0.0
11,C,account_creation,Persistence,0.6542,1,1.0773,0.0,0.02058,0.0,0.0,0.0
12,C,log_clearing,Defense Evasion,0.7632,1,1.1,0.0,0.00937,0.0,0.0,0.0
13,C,lateral_movement,Lateral Movement,0.7087,1,1.08,0.0,0.0201,0.0,0.0,0.0
14,C,data_compression,Exfiltration,0.6542,1,1.0153,0.0,0.00902,0.0,1.0,0.0
15,C,service_enumeration,Reconnaissance,0.5263,0,1.0153,0.0,0.00032,0.0,1.0,0.0
16,C,credential_access,Initial Access,0.7704,1,1.0105,0.0,0.0053,0.0,0.0,0.0
17,C,process_injection,Execution,0.7087,1,0.9626,0.0,0.0194,0.0,0.0,0.0
18,C,account_creation,Persistence,0.6542,1,0.994,0.0,0.0087,0.0,0.0,0.0
19,C,log_clearing,Defense Evasion,0.7632,1,1.0217,0.0,0.0051,0.0,0.0,0.0
20,C,lateral_movement,Lateral Movement,0.7087,1,1.0244,0.0,0.0087,0.0,0.0,0.0
21,C,data_compression,Exfiltration,0.6542,1,0.9902,0.0,0.005,0.0,0.0,0.0
22,C,service_enumeration,Reconnaissance,0.5263,0,0.9902,0.0,0.00024,0.0,1.0,0.0
23,C,credential_access,Initial Access,0.7704,1,0.9847,0.0,0.00334,0.0,0.0,0.0
24,C,script_execution,Execution,0.5997,1,0.9365,0.0,0.00891,0.0,0.0,0.0
25,C,registry_persistence,Persistence,0.5997,1,0.9683,0.0,0.00894,0.0,0.0,0.0
26,C,log_clearing,Defense Evasion,0.7632,1,1.0019,0.0,0.00321,0.0,0.0,0.0
27,C,lateral_movement,Lateral Movement,0.7087,1,1.0151,0.0,0.00487,0.0,0.0,0.0
28,C,encrypted_channel,Exfiltration,0.6542,1,0.9859,0.0,0.01815,0.0,0.0,0.0
29,C,service_enumeration,Reconnaissance,0.5263,0,0.9859,0.0,0.00014,0.0,1.0,0.0
30,C,credential_access,Initial Access,0.7704,1,1.0237,0.0,0.00228,0.0,0.0,0.0
31,C,scheduled_task,Execution,0.5452,0,1.0237,0.0,0.00014,0.0,0.0,0.0
32,C,account_creation,Persistence,0.6542,1,1.019,0.0,0.00497,0.0,1.0,0.0
33,C,log_clearing,Defense Evasion,0.7632,1,1.047,0.0,0.00228,0.0,0.0,0.0
34,C,pass_the_hash,Lateral Movement,0.7087,1,1.0486,0.0,0.00871,0.0,0.0,0.0
35,C,data_compression,Exfiltration,0.6542,1,1.0131,0.0,0.00324,0.0,0.0,0.0
36,C,network_scanning,Reconnaissance,0.5198,0,1.0131,0.0,0.00024,0.0,1.0,0.0
37,C,credential_access,Initial Access,0.7704,1,1.0065,0.0,0.00176,0.0,0.0,0.0
38,C,process_injection,Execution,0.7087,1,0.9892,0.0,0.00843,0.0,0.0,0.0
39,C,account_creation,Persistence,0.6542,1,0.9883,0.0,0.00321,0.0,0.0,0.0
40,C,log_clearing,Defense Evasion,0.7632,1,0.9803,0.0,0.00169,0.0,0.0,0.0
41,C,lateral_movement,Lateral Movement,0.7087,1,0.9748,0.0,0.00321,0.0,1.0,0.0
42,C,encrypted_channel,Exfiltration,0.6542,1,0.9586,0.0,0.00809,0.0,0.0,0.0
43,C,network_scanning,Reconnaissance,0.5198,0,0.9586,0.0,0.00017,0.0,1.0,0.0
44,C,credential_access,Initial Access,0.7704,1,0.9659,0.0,0.00135,0.0,0.0,0.0
45,C,script_execution,Execution,0.5997,1,0.9471,0.0,0.00506,0.0,0.0,0.0
46,C,account_creation,Persistence,0.6542,1,0.9551,0.0,0.00229,0.0,0.0,0.0
47,C,log_clearing,Defense Evasion,0.7632,1,0.9463,0.0,0.0014,0.0,0.0,0.0
48,C,lateral_movement,Lateral Movement,0.7087,1,0.9581,0.0,0.00227,0.0,0.0,0.0
49,C,outbound_transfer,Exfiltration,0.8177,1,0.9355,0.0,0.01701,0.0,1.0,0.0
50,C,os_fingerprinting,Reconnaissance,0.4361,0,0.9355,0.0,0.00014,0.0,1.0,0.0
