round,condition_id,technique,stage,fused_score,is_alert,MTTD,FPR,weight_delta,prediction_accuracy,honeypot_engagement,bandit_regret
1,D,service_enumeration,Reconnaissance,0.6263,0,64.8,0.0,0.0,1.0,0.0,0.0
2,D,credential_access,Initial Access,0.7704,1,59.84,0.0,0.01478,0.0,0.0,0.0
3,D,process_injection,Execution,0.7087,1,60.53,0.0,0.01434,0.0,0.0,0.0
4,D,registry_persistence,Persistence,0.5997,1,61.94,0.0,0.01406,0.0,0.0,0.0
5,D,log_clearing,Defense Evasion,0.7632,1,61.2,0.0,0.0138,0.0,0.0,0.0
6,D,pass_the_hash,Lateral Movement,0.7087,1,61.23,0.0,0.01346,0.0,0.0,0.0
7,D,encrypted_channel,Exfiltration,0.6542,1,61.43,0.0,0.01328,0.0,0.0,0.0
8,D,os_fingerprinting,Reconnaissance,0.4361,0,61.43,0.0,0.00014,0.0,0.0,0.0
9,D,credential_access,Initial Access,0.7704,1,61.45,0.0,0.00602,0.0,0.0,0.0
10,D,scheduled_task,Execution,0.5452,0,61.45,0.0,0.00035,0.0,0.0,0.0
11,D,account_creation,Persistence,0.6542,1,61.74,0.0,0.01289,0.0,0.0,0.0
12,D,log_clearing,Defense Evasion,0.7632,1,61.69,0.0,0.00588,0.0,0.0,0.0
13,D,lateral_movement,Lateral Movement,0.7087,1,61.66,0.0,0.01255,0.0,0.0,0.0
14,D,outbound_transfer,Exfiltration,0.8177,1,61.48,0.0,0.01234,0.0,0.0,0.0
15,D,network_scanning,Reconnaissance,0.5198,0,61.48,0.0,0.00032,0.0,0.0,0.0
16,D,credential_access,Initial Access,0.7704,1,61.36,0.0,0.00331,0.0,0.0,0.0
17,D,process_injection,Execution,0.7087,1,61.46,0.0,0.0056,0.0,0.0,0.0
18,D,account_creation,Persistence,0.6542,1,61.63,0.0,0.00542,0.0,0.0,0.0
19,D,log_clearing,Defense Evasion,0.7632,1,61.57,0.0,0.0032,0.0,0.0,0.0
20,D,pass_the_hash,Lateral Movement,0.7087,1,61.49,0.0,0.00549,0.0,0.0,0.0
21,D,encrypted_channel,Exfiltration,0.6542,1,61.65,0.0,0.00549,0.0,0.0,0.0
22,D,os_fingerprinting,Reconnaissance,0.4361,0,61.65,0.0,0.00022,0.0,0.0,0.0
23,D,credential_access,Initial Access,0.7704,1,61.58,0.0,0.00206,0.0,0.0,0.0
24,D,script_execution,Execution,0.5997,1,61.65,0.0,0.01163,0.0,0.0,0.0
25,D,account_creation,Persistence,0.6542,1,61.72,0.0,0.00309,0.0,0.0,0.0
26,D,log_clearing,Defense Evasion,0.7632,1,61.6,0.0,0.00199,0.0,0.0,0.0
27,D,pass_the_hash,Lateral Movement,0.7087,1,61.65,0.0,0.00301,0.0,0.0,0.0
28,D,outbound_transfer,Exfiltration,0.8177,1,61.49,0.0,0.00529,0.0,0.0,0.0
29,D,os_fingerprinting,Reconnaissance,0.4361,0,61.49,0.0,0.00014,0.0,0.0,0.0
30,D,credential_access,Initial Access,0.7704,1,61.5,0.0,0.00146,0.0,0.0,0.0
31,D,scheduled_task,Execution,0.5452,0,61.5,0.0,0.00017,0.0,0.0,0.0
32,D,registry_persistence,Persistence,0.5997,1,61.58,0.0,0.00551,0.0,0.0,0.0
33,D,log_clearing,Defense Evasion,0.7632,1,61.55,0.0,0.00148,0.0,0.0,0.0
34,D,lateral_movement,Lateral Movement,0.7087,1,61.52,0.0,0.00538,0.0,0.0,0.0
35,D,outbound_transfer,Exfiltration,0.8177,1,61.49,0.0,0.00311,0.0,0.0,0.0
36,D,os_fingerprinting,Reconnaissance,0.4361,0,61.49,0.0,0.0,0.0,0.0,0.0
37,D,credential_access,Initial Access,0.7704,1,61.49,0.0,0.00105,0.0,0.0,0.0
38,D,process_injection,Execution,0.7087,1,61.54,0.0,0.00324,0.0,0.0,0.0
39,D,registry_persistence,Persistence,0.5997,1,61.59,0.0,0.00301,0.0,0.0,0.0
40,D,log_clearing,Defense Evasion,0.7632,1,61.54,0.0,0.00109,0.0,0.0,0.0
41,D,lateral_movement,Lateral Movement,0.7087,1,61.59,0.0,0.00299,0.0,0.0,0.0
42,D,outbound_transfer,Exfiltration,0.8177,1,61.54,0.0,0.00189,0.0,0.0,0.0
43,D,network_scanning,Reconnaissance,0.5198,0,61.54,0.0,0.00026,0.0,0.0,0.0
44,D,credential_access,Initial Access,0.7704,1,61.48,0.0,0.00086,0.0,0.0,0.0
45,D,scheduled_task,Execution,0.5452,0,61.48,0.0,0.00014,0.0,0.0,0.0
46,D,account_creation,Persistence,0.6542,1,61.53,0.0,0.00207,0.0,0.0,0.0
47,D,log_clearing,Defense Evasion,0.7632,1,61.49,0.0,0.00088,0.0,0.0,0.0
48,D,lateral_movement,Lateral Movement,0.7087,1,61.49,0.0,0.00196,0.0,0.0,0.0
49,D,encrypted_channel,Exfiltration,0.6542,1,61.51,0.0,0.00312,0.0,0.0,0.0
50,D,network_scanning,Reconnaissance,0.5198,0,61.51,0.0,0.0,0.0,0.0,0.0
