round,condition_id,technique,stage,fused_score,is_alert,MTTD,FPR,weight_delta,prediction_accuracy,honeypot_engagement,bandit_regret
1,E,service_enumeration,Reconnaissance,0.6263,0,27.4,0.0,0.0,1.0,1.0,0.0
2,E,credential_access,Initial Access,0.7704,1,26.5,0.0,0.01478,0.0,0.0,0.0
3,E,script_execution,Execution,0.5997,1,26.06,0.0,0.01434,0.0,1.0,0.0
4,E,registry_persistence,Persistence,0.5997,1,26.61,0.0,0.01406,0.0,0.0,0.0
5,E,log_clearing,Defense Evasion,0.7632,1,26.19,0.0,0.0138,0.0,1.0,0.0
6,E,lateral_movement,Lateral Movement,0.7087,1,26.46,0.0,0.01693,0.0,1.0,0.0
7,E,encrypted_channel,Exfiltration,0.6542,1,26.41,0.0,0.01365,0.0,0.0,0.0
8,E,service_enumeration,Reconnaissance,0.5263,0,26.41,0.0,0.00014,0.0,1.0,0.0
9,E,credential_access,Initial Access,0.7704,1,26.14,0.0,0.00829,0.0,0.0,0.0
10,E,process_injection,Execution,0.7087,1,26.29,0.0,0.01312,0.0,0.0,0.0
11,E,registry_persistence,Persistence,0.5997,1,26.41,0.0,0.01126,0.0,0.0,0.0
12,E,log_clearing,Defense Evasion,0.7632,1,26.19,0.0,0.00986,0.0,1.0,0.0
13,E,lateral_movement,Lateral Movement,0.7087,1,26.05,0.0,0.00809,0.0,1.0,0.0
14,E,outbound_transfer,Exfiltration,0.8177,1,25.93,0.0,0.01293,0.0,0.0,0.0
15,E,service_enumeration,Reconnaissance,0.5263,0,25.93,0.0,0.0002,0.0,1.0,0.0
16,E,credential_access,Initial Access,0.7704,1,25.79,0.0,0.00972,0.0,0.0,0.0
17,E,script_execution,Execution,0.5997,1,25.93,0.0,0.01101,0.0,0.0,0.0
18,E,registry_persistence,Persistence,0.5997,1,26.09,0.0,0.00705,0.0,0.0,0.0
19,E,log_clearing,Defense Evasion,0.7632,1,26.11,0.0,0.00685,0.0,0.0,0.0
20,E,pass_the_hash,Lateral Movement,0.7087,1,26.1,0.0,0.01264,0.0,1.0,0.0
21,E,encrypted_channel,Exfiltration,0.6542,1,26.08,0.0,0.01313,0.0,0.0,0.0
22,E,os_fingerprinting,Reconnaissance,0.4361,0,26.08,0.0,0.00026,0.0,1.0,0.0
23,E,credential_access,Initial Access,0.7704,1,25.99,0.0,0.00644,0.0,0.0,0.0
24,E,scheduled_task,Execution,0.5452,0,25.99,0.0,0.0001,0.0,0.0,0.0
25,E,registry_persistence,Persistence,0.5997,1,26.04,0.0,0.00582,0.0,0.0,0.0
26,E,log_clearing,Defense Evasion,0.7632,1,26.02,0.0,0.00903,0.0,0.0,0.0
27,E,pass_the_hash,Lateral Movement,0.7087,1,25.98,0.0,0.00973,0.0,1.0,0.0
28,E,encrypted_channel,Exfiltration,0.6542,1,26.06,0.0,0.00738,0.0,0.0,0.0
29,E,service_enumeration,Reconnaissance,0.5263,0,26.06,0.0,0.0001,0.0,1.0,0.0
30,E,credential_access,Initial Access,0.7704,1,25.98,0.0,0.0057,0.0,0.0,0.0
31,E,script_execution,Execution,0.5997,1,25.97,0.0,0.01267,0.0,0.0,0.0
32,E,registry_persistence,Persistence,0.5997,1,26.02,0.0,0.00766,0.0,0.0,0.0
33,E,log_clearing,Defense Evasion,0.7632,1,26.05,0.0,0.00634,0.0,0.0,0.0
34,E,pass_the_hash,Lateral Movement,0.7087,1,26.08,0.0,0.00684,0.0,0.0,0.0
35,E,encrypted_channel,Exfiltration,0.6542,1,26.09,0.0,0.00591,0.0,0.0,0.0
36,E,os_fingerprinting,Reconnaissance,0.4361,0,26.09,0.0,0.00719,0.0,1.0,0.0
37,E,credential_access,Initial Access,0.7704,1,26.07,0.0,0.00756,0.0,0.0,0.0
38,E,scheduled_task,Execution,0.5452,0,26.07,0.0,0.00017,0.0,0.0,0.0
39,E,registry_persistence,Persistence,0.5997,1,26.11,0.0,0.00625,0.0,1.0,0.0
40,E,log_clearing,Defense Evasion,0.7632,1,26.09,0.0,0.0056,0.0,0.0,0.0
41,E,lateral_movement,Lateral Movement,0.7087,1,26.08,0.0,0.01563,0.0,0.0,0.0
42,E,outbound_transfer,Exfiltration,0.8177,1,26.02,0.0,0.01251,0.0,0.0,0.0
43,E,service_enumeration,Reconnaissance,0.5263,0,26.02,0.0,0.00017,0.0,1.0,0.0
44,E,credential_access,Initial Access,0.7704,1,26.04,0.0,0.00621,0.0,0.0,0.0
45,E,process_injection,Execution,0.7087,1,26.08,0.0,0.01246,0.0,0.0,0.0
46,E,registry_persistence,Persistence,0.5997,1,26.08,0.0,0.00898,0.0,1.0,0.0
47,E,log_clearing,Defense Evasion,0.7632,1,26.05,0.0,0.00756,0.0,0.0,0.0
48,E,lateral_movement,Lateral Movement,0.7087,1,26.06,0.0,0.00769,0.0,1.0,0.0
49,E,outbound_transfer,Exfiltration,0.8177,1,26.05,0.0,0.00767,0.0,0.0,0.0
50,E,os_fingerprinting,Reconnaissance,0.4361,0,26.05,0.0,0.00014,0.0,1.0,0.0
