round,condition_id,technique,stage,fused_score,is_alert,MTTD,FPR,weight_delta,prediction_accuracy,honeypot_engagement,bandit_regret
1,F,registry_persistence,Persistence,0.5997,1,37.0,0.0,0.01478,0.0,1.0,0.5497
2,F,data_compression,Exfiltration,0.6542,1,35.81,0.0,0.01434,0.0,1.0,1.1539
3,F,encrypted_channel,Exfiltration,0.7542,1,35.5,0.0,0.01406,1.0,0.0,1.8581
4,F,pass_the_hash,Lateral Movement,0.7087,1,35.6,0.0,0.0138,0.0,0.0,2.5168
5,F,lateral_movement,Lateral Movement,0.8087,1,35.29,0.0,0.01346,1.0,0.0,3.2755
6,F,process_injection,Execution,0.7087,1,35.14,0.0,0.0169,0.0,0.0,3.9342
7,F,service_enumeration,Reconnaissance,0.5263,0,35.14,0.0,0.00014,0.0,1.0,4.4105
8,F,encrypted_channel,Exfiltration,0.6542,1,35.06,0.0,0.00828,0.0,1.0,5.0147
9,F,service_enumeration,Reconnaissance,0.5263,0,35.06,0.0,0.0002,0.0,1.0,5.491
10,F,service_enumeration,Reconnaissance,0.6263,0,35.06,0.0,0.0001,1.0,1.0,6.0673
11,F,registry_persistence,Persistence,0.5997,1,35.39,0.0,0.01101,0.0,1.0,6.617
12,F,network_scanning,Reconnaissance,0.5198,0,35.39,0.0,0.0001,0.0,1.0,7.0868
13,F,account_creation,Persistence,0.6542,1,35.3,0.0,0.01346,0.0,0.0,7.691
14,F,account_creation,Persistence,0.7542,1,35.25,0.0,0.00593,1.0,1.0,8.3952
15,F,network_scanning,Reconnaissance,0.5198,0,35.25,0.0,0.00017,0.0,1.0,8.865
16,F,process_injection,Execution,0.7087,1,35.09,0.0,0.01077,0.0,0.0,9.5237
17,F,registry_persistence,Persistence,0.5997,1,35.12,0.0,0.00712,0.0,0.0,10.0734
18,F,os_fingerprinting,Reconnaissance,0.4361,0,35.12,0.0,0.0002,0.0,1.0,10.4595
19,F,account_creation,Persistence,0.6542,1,35.22,0.0,0.00557,0.0,0.0,11.0637
20,F,registry_persistence,Persistence,0.6997,1,35.23,0.0,0.00397,1.0,0.0,11.7134
21,F,script_execution,Execution,0.5997,1,35.36,0.0,0.01659,0.0,0.0,12.2631
22,F,registry_persistence,Persistence,0.5997,1,35.48,0.0,0.00436,0.0,0.0,12.8128
23,F,process_injection,Execution,0.7087,1,35.42,0.0,0.00704,0.0,0.0,13.4715
24,F,credential_access,Initial Access,0.7704,1,35.29,0.0,0.01297,0.0,0.0,14.1919
25,F,service_enumeration,Reconnaissance,0.5263,0,35.29,0.0,0.00014,0.0,1.0,14.6682
26,F,process_injection,Execution,0.7087,1,35.22,0.0,0.00735,0.0,0.0,15.3269
27,F,os_fingerprinting,Reconnaissance,0.4361,0,35.22,0.0,0.0001,0.0,1.0,15.713
28,F,credential_access,Initial Access,0.7704,1,35.16,0.0,0.00809,0.0,1.0,16.4334
29,F,account_creation,Persistence,0.6542,1,35.18,0.0,0.00748,0.0,0.0,17.0376
30,F,encrypted_channel,Exfiltration,0.6542,1,35.22,0.0,0.01107,0.0,0.0,17.6418
31,F,network_scanning,Reconnaissance,0.5198,0,35.22,0.0,0.00721,0.0,1.0,18.1116
32,F,lateral_movement,Lateral Movement,0.7087,1,35.17,0.0,0.01284,0.0,1.0,18.7703
33,F,log_clearing,Defense Evasion,0.7632,1,35.07,0.0,0.01295,0.0,0.0,19.4835
34,F,registry_persistence,Persistence,0.5997,1,35.13,0.0,0.00652,0.0,1.0,20.0332
35,F,registry_persistence,Persistence,0.6997,1,35.2,0.0,0.00363,1.0,0.0,20.6829
36,F,registry_persistence,Persistence,0.6997,1,35.27,0.0,0.00681,1.0,0.0,21.3326
37,F,scheduled_task,Execution,0.5452,0,35.27,0.0,0.00014,0.0,1.0,21.8278
38,F,data_compression,Exfiltration,0.6542,1,35.25,0.0,0.01277,0.0,0.0,22.432
39,F,outbound_transfer,Exfiltration,0.9177,1,35.23,0.0,0.01283,1.0,0.0,23.2997
40,F,account_creation,Persistence,0.6542,1,35.24,0.0,0.00797,0.0,1.0,23.9039
41,F,pass_the_hash,Lateral Movement,0.7087,1,35.26,0.0,0.01596,0.0,0.0,24.5626
42,F,registry_persistence,Persistence,0.5997,1,35.31,0.0,0.00448,0.0,0.0,25.1123
43,F,encrypted_channel,Exfiltration,0.6542,1,35.35,0.0,0.01057,0.0,0.0,25.7165
44,F,data_compression,Exfiltration,0.7542,1,35.38,0.0,0.00765,1.0,1.0,26.4207
45,F,process_injection,Execution,0.7087,1,35.39,0.0,0.00912,0.0,0.0,27.0794
46,F,script_execution,Execution,0.6997,1,35.43,0.0,0.01496,1.0,1.0,27.7291
47,F,outbound_transfer,Exfiltration,0.8177,1,35.38,0.0,0.00954,0.0,0.0,28.4968
48,F,os_fingerprinting,Reconnaissance,0.4361,0,35.38,0.0,0.00014,0.0,1.0,28.8829
49,F,scheduled_task,Execution,0.5452,0,35.38,0.0,0.0,0.0,0.0,29.3781
50,F,service_enumeration,Reconnaissance,0.5263,0,35.38,0.0,0.00024,0.0,1.0,29.8544
